Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2020-01-02,COST,294.0599975585937,294.5799865722656,291.0,291.489990234375,266.4974365234375,2103600
2020-01-03,COST,290.04998779296875,292.8999938964844,289.3299865722656,291.7300109863281,266.71697998046875,1926000
2020-01-06,COST,290.54998779296875,292.07000732421875,288.6199951171875,291.8099975585937,266.7900390625,2655100
2020-01-07,COST,291.32000732421875,291.69000244140625,289.2799987792969,291.3500061035156,266.3695373535156,1963400
2020-01-08,COST,290.989990234375,295.4800109863281,290.5,294.69000244140625,269.42315673828125,2492800
2020-01-09,COST,298.54998779296875,301.9599914550781,297.7099914550781,299.4200134277344,273.7475891113281,3261200
2020-01-10,COST,300.0,300.2699890136719,296.6600036621094,297.239990234375,271.7545471191406,2024200
2020-01-13,COST,296.9200134277344,300.6499938964844,296.79998779296875,299.8699951171875,274.1590270996094,1778600
2020-01-14,COST,299.25,301.0,298.5799865722656,299.75,274.0493469238281,1459900
2020-01-15,COST,298.3500061035156,301.0400085449219,298.0400085449219,300.82000732421875,275.02752685546875,1604000
2020-01-16,COST,301.3900146484375,304.0599975585937,300.9800109863281,303.0299987792969,277.0480651855469,1758600
2020-01-17,COST,303.3999938964844,305.29998779296875,303.0299987792969,304.67999267578125,278.556640625,2506500
2020-01-21,COST,306.20001220703125,313.3399963378906,305.760009765625,313.260009765625,286.4010314941406,3585900
2020-01-22,COST,313.3999938964844,313.5599975585937,310.2099914550781,311.8900146484375,285.14849853515625,2218900
2020-01-23,COST,312.0199890136719,313.3999938964844,310.7300109863281,312.8800048828125,286.05352783203125,1535900
2020-01-24,COST,314.0199890136719,314.2799987792969,309.1000061035156,310.510009765625,283.8868408203125,1986100
2020-01-27,COST,306.1499938964844,311.7699890136719,305.6499938964844,309.45001220703125,282.91766357421875,2265100
2020-01-28,COST,310.510009765625,311.7099914550781,309.1000061035156,310.8500061035156,284.19757080078125,1571700
2020-01-29,COST,310.8599853515625,311.9700012207031,309.3900146484375,309.5799865722656,283.0364685058594,1713700
2020-01-30,COST,308.8399963378906,309.6400146484375,306.6700134277344,309.4700012207031,282.93585205078125,1232600
2020-01-31,COST,308.54998779296875,309.17999267578125,304.5599975585937,305.5199890136719,279.3244323730469,1837000
2020-02-03,COST,307.0,308.5799865722656,301.6700134277344,302.0,276.1064147949219,2816800
2020-02-04,COST,304.57000732421875,305.9100036621094,302.760009765625,304.8999938964844,278.7577514648437,1982300
