Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2020-01-02,ADSK,184.2100067138672,187.88999938964844,181.8800048828125,187.8300018310547,187.8300018310547,1515000
2020-01-03,ADSK,184.4900054931641,186.4100036621093,183.77999877929688,184.9499969482422,184.9499969482422,737900
2020-01-06,ADSK,183.77999877929688,187.25,183.1600036621093,187.1199951171875,187.1199951171875,1021900
2020-01-07,ADSK,186.1300048828125,188.1699981689453,185.1000061035156,187.5,187.5,897200
2020-01-08,ADSK,188.22000122070312,190.5,187.02999877929688,189.9499969482422,189.9499969482422,1314800
2020-01-09,ADSK,191.7100067138672,192.6999969482422,190.67999267578125,191.94000244140625,191.94000244140625,1164500
2020-01-10,ADSK,193.1600036621093,193.4199981689453,191.83999633789065,192.3600006103516,192.3600006103516,708900
2020-01-13,ADSK,190.0,193.3699951171875,190.0,192.4499969482422,192.4499969482422,1454200
2020-01-14,ADSK,192.25,193.1300048828125,190.6300048828125,191.1100006103516,191.1100006103516,1146500
2020-01-15,ADSK,190.94000244140625,192.1699981689453,190.009994506836,190.7899932861328,190.7899932861328,1444000
2020-01-16,ADSK,192.509994506836,193.1199951171875,191.5,192.5,192.5,2195900
2020-01-17,ADSK,192.3800048828125,194.2400054931641,191.3099975585937,193.3500061035156,193.3500061035156,2384900
2020-01-21,ADSK,194.009994506836,197.5500030517578,193.6999969482422,195.83999633789065,195.83999633789065,1455400
2020-01-22,ADSK,197.47000122070312,198.72000122070312,194.6199951171875,194.72999572753903,194.72999572753903,1068600
2020-01-23,ADSK,195.38999938964844,198.9100036621093,193.759994506836,198.6000061035156,198.6000061035156,1687300
2020-01-24,ADSK,199.42999267578125,200.8999938964844,197.9100036621093,199.19000244140625,199.19000244140625,2437200
2020-01-27,ADSK,195.7700042724609,197.1499938964844,192.9600067138672,195.8699951171875,195.8699951171875,1837800
2020-01-28,ADSK,196.259994506836,200.42999267578125,195.67999267578125,200.02999877929688,200.02999877929688,1270100
2020-01-29,ADSK,200.9199981689453,201.57000732421875,198.8600006103516,199.7400054931641,199.7400054931641,838200
2020-01-30,ADSK,198.4199981689453,200.83999633789065,196.97999572753903,198.9900054931641,198.9900054931641,1520900
2020-01-31,ADSK,198.7700042724609,199.32000732421875,193.3099975585937,196.8500061035156,196.8500061035156,1616600
2020-02-03,ADSK,197.8600006103516,199.94000244140625,197.77999877929688,199.259994506836,199.259994506836,888300
2020-02-04,ADSK,202.0,204.19000244140625,200.509994506836,203.94000244140625,203.94000244140625,1093300
2020-02-05,ADSK,206.72000122070312,207.19000244140625,200.7899932861328,202.0800018310547,202.0800018310547,1366500
2020-02-06,ADSK,203.6199951171875,206.9199981689453,202.4600067138672,206.0,206.0,1326000
2020-02-07,ADSK,205.5800018310547,210.1300048828125,204.63999938964844,207.009994506836,207.009994506836,1410200
2020-02-10,ADSK,207.2400054931641,207.759994506836,205.33999633789065,206.1000061035156,206.1000061035156,1557000
2020-02-11,ADSK,207.3500061035156,207.9900054931641,204.5200042724609,205.8000030517578,205.8000030517578,1289700
2020-02-12,ADSK,206.759994506836,207.72000122070312,205.4499969482422,207.1100006103516,207.1100006103516,1177200
2020-02-13,ADSK,206.33999633789065,208.47000122070312,206.33999633789065,207.509994506836,207.509994506836,897500
2020-02-14,ADSK,208.08999633789065,209.1999969482422,207.2400054931641,208.9499969482422,208.9499969482422,996900
2020-02-18,ADSK,209.47000122070312,209.82000732421875,206.8999938964844,207.0599975585937,207.0599975585937,1342500
2020-02-19,ADSK,209.3300018310547,211.17999267578125,208.63999938964844,210.759994506836,210.759994506836,1569900
2020-02-20,ADSK,210.44000244140625,211.5800018310547,205.07000732421875,206.6699981689453,206.6699981689453,1527300
2020-02-21,ADSK,205.0,206.2700042724609,199.8500061035156,201.9100036621093,201.9100036621093,1774800
2020-02-24,ADSK,195.5599975585937,197.2899932861328,192.42999267578125,194.3699951171875,194.3699951171875,2104900
2020-02-25,ADSK,196.47000122070312,197.4199981689453,185.7400054931641,186.72999572753903,186.72999572753903,2282300
2020-02-26,ADSK,188.58999633789065,194.1499938964844,187.6600036621093,190.6699981689453,190.6699981689453,2850100
2020-02-27,ADSK,184.2400054931641,188.4900054931641,180.07000732421875,180.6499938964844,180.6499938964844,2688300
2020-02-28,ADSK,176.57000732421875,191.3600006103516,175.0500030517578,190.8800048828125,190.8800048828125,4339600
2020-03-02,ADSK,190.6699981689453,191.97000122070312,183.2700042724609,190.8300018310547,190.8300018310547,2698800
2020-03-03,ADSK,187.8500061035156,190.0,177.82000732421875,180.5500030517578,180.5500030517578,2756100
2020-03-04,ADSK,183.8999938964844,191.67999267578125,182.1300048828125,191.4199981689453,191.4199981689453,2242800
2020-03-05,ADSK,185.47000122070312,192.72999572753903,182.8300018310547,184.0399932861328,184.0399932861328,2328700
2020-03-06,ADSK,177.8300018310547,179.67999267578125,168.5500030517578,173.4199981689453,173.4199981689453,3272200
2020-03-09,ADSK,157.82000732421875,164.80999755859375,156.7100067138672,160.0500030517578,160.0500030517578,3108500
2020-03-10,ADSK,165.60000610351562,166.5,157.10000610351562,164.47999572753906,164.47999572753906,3439400
2020-03-11,ADSK,159.5500030517578,161.75,152.36000061035156,154.39999389648438,154.39999389648438,2789400
2020-03-12,ADSK,143.7899932861328,148.5,135.6999969482422,136.0,136.0,5014100
2020-03-13,ADSK,146.0,158.1699981689453,138.4499969482422,158.02999877929688,158.02999877929688,3998400
2020-03-16,ADSK,140.99000549316406,153.49000549316406,135.24000549316406,148.0800018310547,148.0800018310547,4100900
2020-03-17,ADSK,149.69000244140625,157.9499969482422,140.0500030517578,154.9199981689453,154.9199981689453,4110600
2020-03-18,ADSK,145.22000122070312,154.3800048828125,125.37999725341795,141.82000732421875,141.82000732421875,4762400
2020-03-19,ADSK,141.4499969482422,152.27000427246094,134.97999572753906,149.22999572753906,149.22999572753906,3749300
2020-03-20,ADSK,151.4600067138672,156.05999755859375,145.3800048828125,148.02000427246094,148.02000427246094,4515800
2020-03-23,ADSK,147.80999755859375,151.83999633789062,138.10000610351562,144.13999938964844,144.13999938964844,3309200
2020-03-24,ADSK,151.25,153.39999389648438,141.42999267578125,149.9600067138672,149.9600067138672,2691500
2020-03-25,ADSK,149.39999389648438,154.97000122070312,142.32000732421875,149.99000549316406,149.99000549316406,2497000
2020-03-26,ADSK,150.85000610351562,163.14999389648438,150.64999389648438,160.8800048828125,160.8800048828125,2752500
2020-03-27,ADSK,155.8300018310547,156.6199951171875,140.32000732421875,141.57000732421875,141.57000732421875,2929000
2020-03-30,ADSK,142.74000549316406,157.17999267578125,141.2899932861328,155.91000366210938,155.91000366210938,3378400
2020-03-31,ADSK,154.0,158.91000366210938,152.8300018310547,156.10000610351562,156.10000610351562,3678200
2020-04-01,ADSK,147.52999877929688,150.47000122070312,137.86000061035156,139.22000122070312,139.22000122070312,3185100
2020-04-02,ADSK,136.97000122070312,142.13999938964844,135.52000427246094,137.0500030517578,137.0500030517578,2729600
2020-04-03,ADSK,136.88999938964844,141.5399932861328,136.27999877929688,139.0,139.0,2214500
2020-04-06,ADSK,146.1199951171875,153.52000427246094,144.61000061035156,152.32000732421875,152.32000732421875,2732300
2020-04-07,ADSK,157.72999572753906,157.8000030517578,147.25999450683594,148.6999969482422,148.6999969482422,2098200
