Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2020-01-02,XYL,79.16000366210938,79.94999694824219,78.76000213623047,79.8499984741211,74.35203552246094,869500
2020-01-03,XYL,79.02999877929688,80.3499984741211,78.69999694824219,80.31999969482422,74.7896728515625,795100
2020-01-06,XYL,79.86000061035156,79.94000244140625,78.91000366210938,79.80000305175781,74.30548095703125,817300
2020-01-07,XYL,79.91000366210938,79.91000366210938,79.0199966430664,79.5,74.02611541748047,662200
2020-01-08,XYL,79.66000366210938,80.36000061035156,79.19000244140625,79.7699966430664,74.27751922607422,1083200
2020-01-09,XYL,80.0199966430664,80.58000183105469,79.66000366210938,80.12999725341797,74.61274719238281,797500
2020-01-10,XYL,80.25,80.93000030517578,79.63999938964844,79.94000244140625,74.43585205078125,1361200
2020-01-13,XYL,80.2300033569336,81.30999755859375,80.08999633789062,81.27999877929688,75.68354034423828,1264800
2020-01-14,XYL,81.20999908447266,82.01000213623047,81.01000213623047,81.37000274658203,75.76737976074219,1372400
2020-01-15,XYL,81.20999908447266,82.58000183105469,81.06999969482422,82.44999694824219,76.77299499511719,1109300
2020-01-16,XYL,83.01000213623047,83.3499984741211,82.5,83.16000366210938,77.43413543701172,1117900
2020-01-17,XYL,83.47000122070312,83.95999908447266,83.04000091552734,83.45999908447266,77.7134780883789,1203300
2020-01-21,XYL,83.0,83.16999816894531,82.19999694824219,82.4000015258789,76.72645568847656,1156500
2020-01-22,XYL,82.87999725341797,83.06999969482422,82.08999633789062,82.20999908447266,76.54953002929688,844700
2020-01-23,XYL,81.7699966430664,82.41000366210938,81.33000183105469,82.36000061035156,76.689208984375,1422000
2020-01-24,XYL,82.47000122070312,82.97000122070312,81.25,81.4800033569336,75.86981964111328,1086300
2020-01-27,XYL,80.0,80.88999938964844,79.68000030517578,80.22000122070312,74.69656372070312,879800
2020-01-28,XYL,80.58000183105469,81.68000030517578,80.05000305175781,81.2699966430664,75.67427062988281,767400
2020-01-29,XYL,81.91000366210938,83.72000122070312,81.47000122070312,83.16999816894531,77.44344329833984,1310400
