Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2020-01-02,VMC,145.0,145.7100067138672,142.02000427246094,142.72000122070312,135.58407592773438,843400
2020-01-03,VMC,141.36000061035156,143.60000610351562,141.0,142.10000610351562,134.99505615234375,906800
2020-01-06,VMC,142.19000244140625,142.8699951171875,140.7899932861328,141.85000610351562,134.75753784179688,798000
2020-01-07,VMC,141.5,142.8300018310547,140.22999572753906,140.25,133.23751831054688,976500
2020-01-08,VMC,140.32000732421875,142.4600067138672,140.16000366210938,141.3699951171875,134.3014678955078,674100
2020-01-09,VMC,141.75999450683594,143.5,141.50999450683594,142.3000030517578,135.1850128173828,649900
2020-01-10,VMC,142.1300048828125,143.1999969482422,140.6199951171875,143.16000366210938,136.00205993652344,659900
2020-01-13,VMC,142.91000366210938,143.1699981689453,141.9499969482422,142.22000122070312,135.10903930664062,687800
2020-01-14,VMC,141.72000122070312,141.9499969482422,138.38999938964844,139.39999389648438,132.4300079345703,1412700
2020-01-15,VMC,139.13999938964844,140.85000610351562,138.66000366210938,139.66000366210938,132.6770782470703,1203100
2020-01-16,VMC,140.13999938964844,140.39999389648438,138.30999755859375,139.8699951171875,132.8765411376953,888700
2020-01-17,VMC,139.97999572753906,141.47000122070312,139.85000610351562,141.11000061035156,134.05453491210938,826800
2020-01-21,VMC,140.5,142.10000610351562,140.24000549316406,141.77999877929688,134.69107055664062,1173700
2020-01-22,VMC,142.27000427246094,142.39999389648438,140.82000732421875,141.6999969482422,134.6150360107422,665500
2020-01-23,VMC,141.19000244140625,142.8000030517578,140.1300048828125,142.55999755859375,135.4320526123047,545400
2020-01-24,VMC,142.64999389648438,142.77999877929688,139.1199951171875,140.52000427246094,133.49403381347656,565300
2020-01-27,VMC,139.19000244140625,141.77000427246094,138.6300048828125,138.8800048828125,131.9360809326172,1071800
2020-01-28,VMC,139.60000610351562,141.88999938964844,138.05999755859375,141.3000030517578,134.2350311279297,838000
2020-01-29,VMC,141.33999633789062,142.2899932861328,139.30999755859375,139.33999633789062,132.37303161621094,669000
2020-01-30,VMC,138.77999877929688,142.44000244140625,138.77999877929688,142.38999938964844,135.27056884765625,621600
2020-01-31,VMC,141.58999633789062,141.8300018310547,139.41000366210938,141.6300048828125,134.5485076904297,1042500
2020-02-03,VMC,142.38999938964844,145.22000122070312,142.24000549316406,144.5500030517578,137.32254028320312,1011900
2020-02-04,VMC,145.77000427246094,146.0,141.0,144.5399932861328,137.31301879882812,936800
2020-02-05,VMC,145.92999267578125,149.0500030517578,145.27000427246094,148.41000366210938,140.9895477294922,1222800
2020-02-06,VMC,148.1699981689453,148.64999389648438,146.7899932861328,147.02999877929688,139.67852783203125,1030000
2020-02-07,VMC,146.77000427246094,148.1699981689453,146.05999755859375,147.72000122070312,140.3340301513672,544800
2020-02-10,VMC,147.05999755859375,147.6999969482422,145.6699981689453,147.1199951171875,139.7640380859375,732400
2020-02-11,VMC,147.02999877929688,147.5399932861328,143.9600067138672,144.1999969482422,136.99005126953125,982900
