Ticker,Date,EPS,P/E Ratio,Debt-to-Equity,Revenue,Net Profit,ROE,ROA,Net Profit Margin,Operating Margin,P/B Ratio,EV/EBITDA,Current Ratio,Free Cash Flow,Operating Cash Flow,Asset Turnover,Inventory Turnover,FCF Yield,Revenue Growth,Earnings Growth
RELIANCE,2024-06-30,11.19,34.59981009830206,,,,,,,,,,,,,,,,,
RELIANCE,2024-09-30,12.24,30.038831124897875,0.4362971396773213,2315350000000.0,165630000000.0,0.08084905418614613,0.03650000578473194,0.07153562096443303,0.13412227093096077,2.428720544215491,18.17313660171811,1.0805221790586321,,,0.5102353945159639,5.754209381795588,,,0.09383378016085797
RELIANCE,2024-12-31,13.7,22.091512192774864,,2399860000000.0,185400000000.0,,,0.07725450651287992,0.14510013084096574,,11.761682681741208,,,,,,,0.036499881227460174,0.11928104575163401
RELIANCE,2025-03-31,,,0.43830052182163187,2613880000000.0,194070000000.0,0.09206356736242884,0.03980676070869449,0.0742459485515785,0.12666993128988324,2.002294093410654,14.77849878861268,1.1003510844387827,,,0.5361472441966422,7.158275252974764,,0.08918020217846045,
RELIANCE,2025-06-30,19.95,18.72970695782425,,2436320000000.0,269940000000.0,,,0.11079825310304064,0.18134727786169305,,11.444733091868725,,,,,,,-0.067929667773578,
RELIANCE,2025-09-30,,,,,,,,,,,,,,,,,,,
RELIANCE,2025-12-31,13.78,28.490566480661514,,2649050000000.0,186450000000.0,,,0.0703837224665446,0.13706800551140974,,14.631916383101235,,,,,,,,
HDFCBANK,2024-06-30,10.835,19.409992269067978,1.415097132720398,724169900000.0,164748500000.0,0.13849181876825012,0.01644796604621695,0.22749978975928162,,2.7204424379056387,,,,,0.07229881866537373,,,,
HDFCBANK,2024-09-30,,,1.0436007649924546,195554500000.0,173810500000.0,0.09570692806919028,0.015211999711777151,0.8888084907276488,,1.8100451176082575,,,,,0.017115047696409164,,,-0.7299604692213802,
HDFCBANK,2024-12-31,23.11,9.461304925830268,1.301248277819151,652796600000.0,176566100000.0,0.14063680920632696,0.01670374341196802,0.27047643936870996,,2.679941280378353,,,,,0.06175674099730991,,,2.3381824504166357,
HDFCBANK,2025-03-31,,,0.9543063355044986,953058900000.0,153934600000.0,0.08020673576286359,0.012777924019656555,0.1615163553899974,,1.7481617178776607,,,,,0.0791122607292802,,,0.4599630267682153,
HDFCBANK,2025-06-30,10.615,23.510735000128797,1.1050040872852018,853464600000.0,162579100000.0,0.11984438424999597,0.01459401680956743,0.1904930796192367,,2.830882160199385,,,,,0.07661179523549302,,,-0.10449962746268882,
INFY,2024-06-30,,,,,,,,,,,,,,,,,,,
INFY,2024-09-30,0.19,2369.9735942639804,,,,,,,,,,,,,,,,,
INFY,2024-12-31,0.19,2402.5813052528783,0.09314058406907927,4939000000.0,804000000.0,0.31202095663141555,0.19740961266957216,0.16278598906661268,0.23385300668151449,716.7241729535722,1598.6197079291057,2.1315844264001664,,,1.212694125590817,,,,0.0
INFY,2025-03-31,0.2,1853.2783508300781,0.08585452922802321,4730000000.0,813000000.0,0.2902275769745649,0.1866926918881681,0.17188160676532768,0.2386892177589852,535.3174754024581,1172.0745332065171,2.2663607342378294,892000000.0,976000000.0,1.0861702738389116,,0.0005948419158308651,-0.04231625835189312,0.05263157894736836
INFY,2025-06-30,0.2,1972.0600891113281,0.0626072815972536,4941000000.0,809000000.0,0.29234799891589125,0.18547601306814926,0.16373203804897793,0.20805504958510423,576.6262191983711,1551.5969407360824,2.181606519208382,,,1.132802200951453,,,0.044608879492600506,0.0
INFY,2025-09-30,,,0.08475159016675263,5076000000.0,839000000.0,0.28846484442152315,0.18578387953941541,0.1652876280535855,0.2318754925137904,493.8220121410989,1094.2401465795626,2.280436447166922,1101000000.0,1157000000.0,1.1240035429583703,,0.000766562916955162,0.02732240437158473,
