Date,TCS.NS,INFY.NS,HCLTECH.NS,TATASTEEL.NS,HINDALCO.NS,JINDALSTEL.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,NESTLEIND.NS
2021-02-26,2544.312744140625,1103.305419921875,743.4906616210938,61.56564712524414,328.36468505859375,331.2189636230469,726.673095703125,578.1364135742188,354.588623046875,1960.6451416015625,160.2489471435547,761.168212890625
2021-03-01,2570.596435546875,1115.3658447265625,760.57666015625,62.87849426269531,332.0802001953125,340.58660888671875,738.2760620117188,588.3885498046875,367.5444641113281,1971.0819091796875,162.64659118652344,770.1901245117188
2021-03-02,2642.813232421875,1148.377685546875,779.706787109375,63.317543029785156,333.19000244140625,333.5855407714844,742.680419921875,590.4679565429688,367.3951416015625,2002.8544921875,165.00494384765625,783.6014404296875
2021-03-03,2689.184326171875,1182.7545166015625,789.108154296875,66.90308380126953,346.7974548339844,344.6787414550781,751.5128784179688,611.3592529296875,378.3194580078125,2017.154052734375,165.0442352294922,789.4207763671875
2021-03-04,2680.9208984375,1171.134033203125,783.1809692382812,65.25020599365234,337.2433166503906,331.85992431640625,735.0320434570312,600.3817138671875,377.96099853515625,2020.281005859375,164.8477020263672,787.650390625
2021-03-05,2644.307373046875,1159.1175537109375,769.692138671875,63.128143310546875,326.0484924316406,317.8578186035156,724.5894165039062,589.4524536132812,382.90032958984375,2024.143310546875,163.94366455078125,793.3751831054688
2021-03-08,2643.340576171875,1175.8876953125,786.3694458007812,63.46820068359375,324.8421630859375,319.53411865234375,719.6166381835938,588.098388671875,381.57586669921875,1999.72802734375,163.51132202148438,796.662841796875
2021-03-09,2682.019287109375,1184.51513671875,795.56640625,60.84252166748047,321.60919189453125,308.4902038574219,739.9810180664062,604.5888671875,394.1434020996094,2021.752685546875,163.3540802001953,799.4212646484375
2021-03-10,2699.60107421875,1204.41015625,808.1154174804688,62.37057113647461,328.461181640625,315.88568115234375,736.7842407226562,605.072509765625,391.1558532714844,2048.7431640625,162.33213806152344,800.3973999023438
2021-03-12,2688.173095703125,1210.308349609375,800.5533447265625,61.9788818359375,318.66571044921875,313.2232971191406,734.9845581054688,592.7408447265625,385.4198303222656,2027.4998779296875,161.3101806640625,790.5174560546875
2021-03-15,2695.381591796875,1209.2080078125,811.2627563476562,63.39501953125,322.13995361328125,321.55560302734375,723.9500122070312,583.6976928710938,382.133544921875,2033.1094970703125,161.50674438476562,795.7457885742188
2021-03-16,2733.97314453125,1218.3634033203125,823.44384765625,62.33183288574219,322.2364807128906,319.04107666015625,716.1358642578125,575.4283447265625,379.056396484375,2063.640625,163.39337158203125,791.439208984375
2021-03-17,2736.5224609375,1221.00439453125,807.2570190429688,60.64021301269531,314.99847412109375,304.44732666015625,708.1795043945312,570.1571655273438,372.11541748046875,2047.3172607421875,165.55520629882812,777.9097290039062
